"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"X13d6ae6d.1662.4e0a.a10b.a733efc216b2",0.0607698420250804,0.373353800757241,3.71092839999084e-07,0.00453398377889357,5.75716958392113e-07,0.018269428330043,0.164804283292717,2.00090917849728e-07,0.37826751491531
"X13daffbb.aa53.44f9.a6ed.5fd43ed37471",0.209337749390068,0.085911254175052,0.053202864903656,0.00884971031602671,9.94674879515993e-07,0.00100067108820911,0.641695748774575,5.73382782367255e-07,4.33294751098289e-07
"X13fc37db.3160.4e82.bd63.52fc295e0e19",0.0409535721468242,0.21694829859237,0.043230311507862,0.00352945187200688,3.66083097161831e-05,0.0124574444337674,0.484865087869404,2.86655507830443e-07,0.197978938612541
"X1406cfa1.39b8.4ab6.a960.ed6f38bc0f0d",0.142506056573488,0.11253783900813,0.0692873557201251,0.00886585541485521,0.00916379105956378,0.00801648611972897,0.310267705530743,0.000111390321143191,0.339243520252224
"X144d0f39.feff.4dcd.a07d.abcc400e901f",0.0859100368112978,0.177955319067385,0.0225148797876717,0.00571695133457253,0.00376981006478397,0.00864507525120735,0.307955517869653,3.40275119291587e-07,0.387532069538309
"X1453285a.717a.4ae3.a537.57df2b8e65e2",0.0730113042592154,0.0488920237324019,0.159495133307164,0.0195958444294707,0.0663677633456094,0.015428987886156,0.132137829957286,1.27976316492164e-07,0.48507098510638
"X1467bc96.cad8.4011.962e.d43e6c725f63",0.0483368176714865,0.181963339626237,0.0741474700919756,0.00534515532610433,0.00432661954368617,0.037880758380792,0.282280750456538,1.50261580590016e-07,0.3657189386416
"X1516c4ec.98c0.41dc.9ad1.86cc05305fc1",0.124784157350436,0.234091782376313,0.000486322582010563,0.00258748295244016,1.51066326587554e-06,0.010690983015725,0.56604940440938,3.37507491704745e-07,0.0613080191429379
"X151af32a.7367.4e35.a575.f6da31aa256a",0.426023278553295,0.445566137311122,5.46641385523345e-07,2.54929943460448e-07,1.25926270055654e-07,0.119919830339835,0.00848896888134156,1.76935565933639e-07,6.80481242172754e-07
"X158ab1d9.8925.4a05.95da.b2e0ca297474",0.151077875815403,0.280453552041162,2.10058079194628e-06,0.0363694405701914,0.0147529315348898,0.0494183192862516,0.350290565747083,0.0027720440195917,0.114863170404636
"X15933e60.dee1.493a.a4f9.d5791dd15325",0.186074100502727,0.138469314868073,0.0136581734623999,0.000689486200575593,0.091333852973868,0.0309102670721561,0.173421998954105,0.000456600042276221,0.364986205923818
"X16bd1ebb.5bf9.4839.99bd.5a4d3dcad7b8",0.179954916784052,0.305190949337059,0.0443967058441241,0.00246056543326928,0.00104093770700954,0.0699421633567889,0.170602651652669,2.54211748681249e-07,0.22641085567328
"X16e1fcb7.863d.40c1.b2d6.365d519148f6",0.331159377404669,0.238147185473042,1.15430049480743e-06,0.0034671076406994,0.00474915990087109,0.0252889198052766,0.394904864258319,0.00149523911213717,0.000786992104491608
"X171e095d.2236.43c8.9670.23608e6cc8ab",0.110554794666285,0.148522841628247,0.14472981109651,0.0218312345090189,0.0188986323926228,0.00304017663087054,0.320625751993773,3.06508505768353e-07,0.231796450574168
"X1729f18b.f4d7.4e1c.af9f.2c651023e7fc",0.0316965051025681,0.54759737623269,7.70409883042044e-07,9.66870983365634e-07,4.39283133238067e-07,0.027738416787914,0.104190419037573,5.20331208450615e-07,0.288774585944046
"X1742c1d9.a359.4d9e.b1e4.1d162472e67a",0.0423853325797554,0.284975221892321,4.92478853711265e-07,0.0192526268827544,5.43340791743947e-07,0.0291927370478974,0.4662980139043,2.57089447635486e-07,0.157894774783879
